Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.8680816806900723
1,4,1.0
2,4,0.850243173763331
3,4,0.8759896789276836
1,4,1.0
2,4,0.8842388845138124
3,4,0.8667544820294104
4,4,0.902110840249479
1,4,1.0
2,3,0.8843521475725447
3,3,0.890937899046799
4,4,0.9087286798864833
5,4,0.8352014857255298
1,4,1.0
2,4,0.8785471528457217
3,2,0.8829324124520288
4,3,0.8603912935401605
5,4,0.8380674201376793
6,3,0.9215510551549382
1,4,1.0
2,2,0.8627778443175549
3,3,0.9291608401736621
4,4,0.8850540952847326
5,3,0.8363481620233469
6,2,0.8575826245824086
7,4,0.8972637105247911
1,4,1.0
2,3,0.89210980149151
3,4,0.8414080932957649
4,3,0.8591004589280977
5,3,0.7484165800055173
6,4,0.9044339885293484
7,4,0.9344434472865145
8,4,0.890382556388716
1,4,1.0
2,3,0.9037116426058419
3,4,0.8686741461196367
4,3,0.7673346995010087
5,3,0.7712291012055656
6,4,0.868224339433539
7,4,0.9010985081481644
8,3,0.8737746006649344
9,3,0.9051013459984597
1,4,1.0
2,4,0.86533657832733
3,4,0.8913295903743487
4,2,0.7517531658969271
5,2,0.7239101717137933
6,4,0.8660436846910603
7,3,0.8903784917177875
8,3,0.9023041133660062
9,3,0.9248947745364241
10,4,0.8695821415354607
1,4,1.0
2,4,0.9054660076268537
3,4,0.9335381023804845
4,2,0.7139509925336827
5,2,0.6985058238677223
6,4,0.8557102242040411
7,4,0.8808648527081395
8,4,0.8703606904519547
9,4,0.8519383324850299
10,4,0.9024408651545632
11,3,0.8783735352446442
1,4,1.0
2,3,0.805728464975212
3,3,0.9383951906093942
4,2,0.6879068207289775
5,2,0.6734564983391473
6,4,0.8840260144565398
7,3,0.9019035632040046
8,4,0.9214659674402449
9,3,0.915333129539638
10,4,0.9044324282649853
11,4,0.9228164050093407
12,3,0.8753735178931281
