Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8710411202902156
1,4,1.0
2,4,0.8711139482639086
3,4,0.825884590912883
1,4,1.0
2,2,0.8677205711056994
3,4,0.8159550321902372
4,4,0.8377271918030388
1,4,1.0
2,2,0.9215842673769766
3,4,0.8549802971383019
4,4,0.8420130734156375
5,4,0.8854273271226801
1,4,1.0
2,3,0.8353539241485112
3,4,0.8148800306693241
4,4,0.8651510233429252
5,4,0.8739683816647131
6,4,0.8789623156312116
1,4,1.0
2,3,0.7928453724644886
3,4,0.8293366994673593
4,3,0.8562133645015504
5,4,0.8540256320017008
6,4,0.8870959341671713
7,4,0.7948175371860099
1,4,1.0
2,2,0.7797386482476845
3,3,0.8530161237635789
4,2,0.7975438506466115
5,4,0.881702007534078
6,4,0.873695703381752
7,3,0.8350550143902276
8,4,0.8180527251823105
1,4,1.0
2,3,0.765647177079885
3,3,0.8838079089937556
4,4,0.9189377184047484
5,4,0.7785751501736863
6,4,0.7983598133507165
7,3,0.7959699332139901
8,4,0.8339044673744458
9,3,0.8557528178999351
1,4,1.0
2,3,0.8961803422338604
3,3,0.8806916341859088
4,3,0.8229721175033055
5,4,0.8373435986955233
6,2,0.8251353206550565
7,4,0.8722186109588159
8,3,0.8300043331596013
9,3,0.8344067377580826
10,4,0.8208286826005661
1,4,1.0
2,3,0.8509715338552378
3,3,0.8868975836945304
4,3,0.7895823838967065
5,3,0.8328902509724215
6,2,0.7429173327835392
7,4,0.79748101147409
8,4,0.8563886030672813
9,4,0.8183620389153373
10,3,0.8409537288997229
11,1,0.8463104674637058
1,4,1.0
2,4,0.7759762991597742
3,3,0.7366170007167835
4,2,0.7276137270436404
5,3,0.7703989095924177
6,2,0.7337779585302645
7,3,0.7976281134373949
8,3,0.862209023470377
9,4,0.8826742068816377
10,4,0.8319878170513351
11,4,0.8507303136907476
12,3,0.8783578191131967
