Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9750106478753308
1,4,1.0
2,3,0.9736426477792355
3,4,0.9746312164946808
1,4,1.0
2,4,0.8033585975687327
3,3,0.863438387949644
4,4,0.9838370685812593
1,4,1.0
2,4,0.8157716666112566
3,3,0.7310548128680301
4,4,0.7976117567804633
5,4,0.8398445061848288
1,4,1.0
2,3,0.8025280307811846
3,4,0.8311173831451107
4,4,0.8192136205829847
5,3,0.8142706375640851
6,4,0.8218581624034187
1,4,1.0
2,2,0.6251062520633638
3,2,0.8057709911281691
4,2,0.8485128272194192
5,3,0.85642210688148
6,4,0.8403205920237997
7,3,0.8162502186183409
1,4,1.0
2,2,0.660093807083391
3,2,0.6183586422867626
4,3,0.6820596965387253
5,3,0.6978641079848298
6,4,0.8203656583994449
7,4,0.8229789312448051
8,4,0.7831690954913854
1,4,1.0
2,2,0.720478770787725
3,2,0.6727475625559063
4,2,0.7700035615236492
5,2,0.5925176854640001
6,3,0.6756489645655857
7,3,0.8280465505551448
8,3,0.7372304774543265
9,4,0.8090839127872013
1,4,1.0
2,2,0.7779497148591039
3,2,0.7065320162555547
4,3,0.826936117889904
5,2,0.6729942679248555
6,2,0.6474131626383728
7,2,0.46153215425948424
8,3,0.7538817717019498
9,3,0.7296445657563644
10,3,0.7871000212804297
1,4,1.0
2,3,0.8186934130036716
3,2,0.7883603237461191
4,2,0.6885130803692248
5,4,0.8180808626194062
6,3,0.6748585013312599
7,2,0.4005959180381825
8,2,0.7178992419397853
9,2,0.5213066566030653
10,4,0.7598251727721242
11,3,0.7480667371550752
1,4,1.0
2,2,0.5711804831241736
3,2,0.6908486062137897
4,2,0.5169225661580498
5,3,0.7123252055690719
6,3,0.7431383508822835
7,2,0.39022341618521805
8,3,0.6574848818080525
9,2,0.5059238250713884
10,3,0.7324748536631455
11,2,0.5305132631748767
12,3,0.8345604671805756
