Layer,mean_TPinSecurity,std_TPinSecurity,mean_overlapAreaPercentage,std_overlapAreaPercentage
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
2,3.5,0.5270462766947299,0.8782677585590303,0.02506700877142685
2,3.2,0.7888106377466154,0.8925321302572868,0.015157168131628346
2,3.6,0.5163977794943223,0.88305503922035,0.027771756620130518
2,3.6,0.6992058987801011,0.8908100525372546,0.03294993277775676
2,3.6,0.6992058987801011,0.8608436337780304,0.05672716322204893
2,3.4,0.8432740427115678,0.8487754779561693,0.039080374035164074
2,2.9,0.8755950357709131,0.8404504218737211,0.050452771459508626
2,2.8,0.6324555320336759,0.7903395277625164,0.06723839111315515
2,2.8,0.6324555320336759,0.7974651575799989,0.06470901863714214
2,2.6,0.9660917830792959,0.7895469555148307,0.07571171263136871
2,2.5,0.8498365855987975,0.7596792049532736,0.07118008082029857
3,3.8,0.4216370213557839,0.8775034443854974,0.03370379196036582
3,3.7,0.6749485577105528,0.8754491954799706,0.03130102245896456
3,3.2,0.6324555320336758,0.8641721569972486,0.0468915965384103
3,3.4,0.8432740427115678,0.8634434886497656,0.04776295841374883
3,3.3,0.8232726023485645,0.8344498105885767,0.03250371042247474
3,3.0,0.816496580927726,0.835118329189538,0.04598790410645288
3,3.3,0.8232726023485646,0.829009662295106,0.05626085951940495
3,3.3,0.9486832980505138,0.8203240870770824,0.052448480407275906
3,3.1,0.8755950357709131,0.8126190335153322,0.07369159282184244
3,2.9,0.8755950357709131,0.7902396774920213,0.06885553652188528
4,3.6,0.5163977794943223,0.8825992900097626,0.02917734050261476
4,3.6,0.5163977794943223,0.8837305423396771,0.025740063816179597
4,3.5,0.5270462766947299,0.8580712920445522,0.05721840228870103
4,3.2,0.6324555320336758,0.8791615389477461,0.044399553030406436
4,3.6,0.5163977794943223,0.8534539188974127,0.041726808773590744
4,3.0,1.1547005383792515,0.8576049627674159,0.05792555901632149
4,3.5,0.8498365855987975,0.837526357973338,0.05105816716147808
4,3.3,0.4830458915396479,0.8451795463380936,0.062154857305682876
4,3.0,0.6666666666666666,0.8344229798732657,0.057005392437059495
5,3.5,0.5270462766947299,0.8785450627313495,0.02575834087414889
5,3.9,0.3162277660168379,0.8796122551088613,0.027302129192658328
5,3.6,0.6992058987801012,0.8600460011282113,0.02251268340249486
5,3.5,0.7071067811865476,0.869789738138009,0.035115728532928076
5,3.5,0.5270462766947299,0.8849990992470491,0.032981271960605234
5,2.9,0.5676462121975466,0.8473902675086343,0.05297657891723715
5,3.3,0.8232726023485646,0.8591503777424359,0.045852712112458775
5,3.2,0.9189365834726814,0.8487556897454276,0.04067045929478214
6,3.9,0.3162277660168379,0.8908774472753261,0.03234320487934838
6,3.8,0.42163702135578385,0.8748177258771637,0.023049776018856175
6,3.6,0.6992058987801011,0.8700846450362703,0.026160375162980056
6,3.2,0.6324555320336758,0.8632270023997016,0.05978068550922839
6,3.5,0.7071067811865476,0.8457709689502728,0.07329745209140906
6,3.3,0.8232726023485645,0.8320396207133708,0.09165691495909564
6,2.8,0.7888106377466155,0.8035940097554739,0.10309767970528888
7,3.5,0.7071067811865476,0.9029681400027639,0.024459926266374894
7,3.5,0.5270462766947299,0.899935492405984,0.020540702442004892
7,3.7,0.48304589153964794,0.8835514819606519,0.04129562138925163
7,3.1,0.7378647873726218,0.8928051016294406,0.046044631941342715
7,3.1,0.875595035770913,0.853966294167279,0.05009888548978391
7,3.0,0.9428090415820634,0.8331869673904848,0.05012135277644251
8,3.8,0.4216370213557839,0.8627647156036862,0.03797350729356429
8,3.8,0.4216370213557839,0.8559404774908763,0.036174029087275544
8,3.3,0.6749485577105528,0.8654336098220808,0.037639829298596904
8,3.7,0.48304589153964794,0.8362597726622336,0.0565635942786879
8,2.7,0.8232726023485646,0.8064462999255524,0.06032234861641937
9,3.6,0.6992058987801012,0.8957027954622541,0.016779753815772583
9,3.6,0.5163977794943223,0.8940971697180388,0.029720729549839082
9,3.7,0.48304589153964794,0.892666849276139,0.043924059853247516
9,3.5,0.5270462766947299,0.8812479442203281,0.02621966447444149
10,3.8,0.4216370213557839,0.8633711620887313,0.033808450911310885
10,3.5,0.5270462766947299,0.8671998308681237,0.029142440507792692
10,3.7,0.48304589153964794,0.878839176057418,0.03386337534630973
11,3.8,0.42163702135578385,0.870334675161011,0.03223542348132394
11,3.8,0.6324555320336759,0.865618866938644,0.025844034055214075
12,3.5,0.5270462766947299,0.8720213319508454,0.03409587013796598
