,custom,custom(average),custom2,,custom4,custom4(average),block built in custom4,custom6,block built in custom6,custom10,custom10(average)
1,256,256,,,2164,2164,56,7934,100,2858,2858
,0,0,,,0,0,,0,,0,0
2,"124,122",123,,,"312,361,233",,53,"4772, 4739",105(two robots stuck at one end),"1436, 1434",1435
,"0,2",1,,,"0,3",1.5,,"5,38",,"0,2",1
3,"84,82,80",82,,,"804,802,799",,58,"2434, 2408, 1997",106(only one block left. but all robot stuck at one end),"942, 940, 938",940
,"0,2,4",2,,,"0,2,5",,,"36,38,32",,"0,2,4",2
4,"68,67,65,62",65.5,,,"522,518,516,516",,56,"1560, 1558, 1556, 1554",103,"712, 710, 708, 706",709
,"1,2,4,7",3.5,,,"1,5,7,7",,,"2,4,6,8",,"0, 2, 4, 6",3
5,"54,51,50,48,46",49.8,,,"380,377,376,374,368",,53,"1538, 1535, 1531, 1522, 1527",100,"572, 570, 568, 566, 564",568
,"0,3,4,6,8",4.2,,,"1,4,5,7,13",,,"1,4,8,17,12",,"0,2,4,6,8",4
6,"46,45,44,42,40,38",42.5,,,"560, 561, 557, 558, 553, 549",,"59(success,but there is half more)","1292, 1279, 1282, 1288, 1210, 1117","107 (same problem, but success, however it will continue even it is finished)","474, 472, 472, 470, 468, 466",470.3333333
,"2,3,4,6,8,10",5.5,,,"5,4,8,7,12,11",,,"4, 17, 14,8,86,179",,"2,4,4,6,8,10",5.666666667
7,"40,39,40,38,36,34,32",37,,,"306, 306, 304, 303, 303, 300, 298",,53,"994, 993, 996,992, 995, 991, 979",100(several robots deadlock),"408, 407, 408, 405, 404, 402, 400",404.8571429
,"4,5,4,6,8,10,12",7,,,"5,5,7,8,8,11,13",,,"9,10,7,11,8,12,24",,"4,5,4,7,8,10,12",7.142857143
8,"36,35,36,35,33,32,30,28",33.125,,,"250, 253, 254, 248,247, 247, 243, 241",,53,"952, 711, 804, 841, 845, 955, 953, 953","107(same problem, but success, however it will continue building even it is finished)","354, 353, 354, 353, 351, 350, 348, 346",351.125
,"6,7,6,7,9,10,12,14",8.875,,,"10,7,6,12,13,13,17,19",,,"18,259,166,129,125,15,17,17",,"6,7,6,7,9,10,12,14",8.875
9,"32,31,32,31,29,29,28,26,24",29.11111111,,,"214, 213, 212, 212, 210, 212, 211, 204, 206",,52,"660, 659, 578, 635, 660, 652, 651, 656, 600",103(deadlock again),"316, 315, 316, 315, 313, 313, 312, 310, 308",313.1111111
,"8,9,8,9,11,11,12,14,16",10.88888889,,,"9,10,11,11,13,11,12,19,17",,,"11,12,93,36,11,19,20,15,71",,"8,9,8,9,11,11,12,14,16",10.88888889
10,"30,29,30,29,27,28,27,25,23,21",26.9,,,"196, 192, 196, 193, 189, 191, 192, 190, 188, 186",,52,"728, 667, 583, 724, 704, 590, 726, 568, 719, 648",105,"286, 285, 285, 285, 283, 284, 281, 281, 279, 277",282.6
,"10,11,10,11,13,12,13,15,17,19",13.1,,,"11,15,11,14,18,16,15,17,19,21",,,"14, 75, 159, 18, 38, 152, 16, 174, 23, 94",,"10, 11, 11, 11, 13, 12, 15, 15,17, 19",13.4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
