Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.7699018391599748
1,4,1.0
2,4,0.8215595611542886
3,4,0.8072149892482283
1,4,1.0
2,2,0.8038064608588733
3,3,0.8086741763477675
4,4,0.7992446856610774
1,4,1.0
2,3,0.840446178300106
3,3,0.790182322215161
4,4,0.7454599816298327
5,4,0.7893337284600759
1,4,1.0
2,3,0.8098241660567597
3,3,0.8321876859378172
4,4,0.8026117685854215
5,3,0.7425673210886006
6,4,0.8250706313224757
1,4,1.0
2,2,0.7313656810143305
3,2,0.7654526177030307
4,3,0.8449029716838536
5,4,0.7180197370776875
6,3,0.7951982340932865
7,4,0.734178262634591
1,4,1.0
2,3,0.6692392747227989
3,2,0.6383434436229923
4,2,0.6667188035057885
5,2,0.665192292687533
6,3,0.8108985812904057
7,3,0.7135207630322747
8,2,0.8119388165014324
1,4,1.0
2,2,0.64403254274691
3,2,0.5880953709003733
4,3,0.7897626555131814
5,2,0.70412524619497
6,2,0.7566765965487984
7,2,0.7065052445106067
8,4,0.7760589431768992
9,4,0.7785577256198799
1,4,1.0
2,2,0.6032986552047438
3,2,0.6765390610865886
4,3,0.6214068079386682
5,2,0.6589202733039035
6,2,0.6018374732279115
7,2,0.6990649336908108
8,3,0.841090710172808
9,4,0.7726370483323558
10,2,0.8123625043132321
1,4,1.0
2,2,0.5977706303022837
3,2,0.640920750814524
4,2,0.7404665385936127
5,3,0.7282473689869731
6,2,0.5655297548682371
7,3,0.6863073653642457
8,2,0.8083293711072267
9,4,0.746843020303661
10,4,0.7926204677846126
11,3,0.8084271131864251
1,4,1.0
2,2,0.7096951657903622
3,2,0.6311950554768453
4,3,0.8014697890814051
5,2,0.7939730215796756
6,2,0.5329842301333291
7,3,0.7780117029526193
8,2,0.7969304437622118
9,4,0.7950842461438451
10,3,0.8371751683068307
11,4,0.6987895043891718
12,4,0.8129587713573989
